depth,seed,test_acc,avg_spectral_norm,empirical_lip
1,0,0.9776,4.203665614128113,0.6792956469264898
1,1,0.9816,4.291093230247498,0.6595307910776494
1,2,0.979,4.452493906021118,0.6252557698205129
1,3,0.9794,4.391331672668457,0.6647153557663646
1,4,0.9804,4.293698668479919,0.6825812223977961
2,0,0.9778,4.166395664215088,0.8047145195107364
2,1,0.9812,4.298816005388896,0.9882167786215549
2,2,0.9766,4.2404866218566895,0.8357032042529636
2,3,0.9807,4.377037684122722,0.7851536107991426
2,4,0.9784,4.164999802907308,0.6952880850422318
3,0,0.9782,4.136530756950378,0.6298678347207495
3,1,0.9744,4.074422270059586,0.757495037382779
3,2,0.9782,3.959193378686905,0.6163909275105027
3,3,0.9801,4.115738898515701,0.7301295178505376
3,4,0.9773,4.042953044176102,0.8324928446595634
5,0,0.9817,3.8398515582084656,0.7793342180433356
5,1,0.978,3.76768030722936,0.9332545537930443
5,2,0.978,3.7064757347106934,0.8912824490238859
5,3,0.9771,3.7795090476671853,0.9555018501638194
5,4,0.9793,3.837258040904999,0.6838569209064947
8,0,0.9759,3.7028719186782837,1.1230870968126485
8,1,0.9781,3.7142491738001504,1.0637927943959378
8,2,0.9801,3.76882885562049,0.9717582718649309
8,3,0.9795,3.78210977713267,0.9499128909821833
8,4,0.9789,3.736465480592516,0.9735893879893562
