depth,seed,test_acc,avg_spectral_norm,empirical_lip
1,0,0.965,7.6497581005096436,23.296221404098024
1,1,0.955,7.630701303482056,19.16627014003915
1,2,0.97,7.2642271518707275,13.93116353132852
1,3,0.98,7.434036016464233,17.981689664338557
1,4,0.97,7.58852481842041,19.058301589110165
2,0,0.965,5.369494199752808,22.118141189264495
2,1,0.95,5.200683514277141,19.829686056586024
2,2,0.975,4.981556177139282,15.964363303323886
2,3,0.98,5.8945826689402265,42.04272231990747
2,4,0.965,5.885614037513733,25.246879523986912
3,0,0.97,4.967844188213348,59.35409639362857
3,1,0.955,4.6510176956653595,33.379897315376596
3,2,0.975,5.056466341018677,36.620226275551616
3,3,0.98,5.032746732234955,81.02615534521631
3,4,0.97,5.592284202575684,44.70903143474178
5,0,0.975,4.335066616535187,137.5334123100453
5,1,0.955,4.369779725869496,55.1942267243648
5,2,0.97,4.007359564304352,71.08377453112674
5,3,0.98,4.212570130825043,127.97924587005357
5,4,0.975,3.995090961456299,93.70381449918632
8,0,0.965,3.7864817447132535,107.20598150195322
8,1,0.945,3.6073740124702454,62.33429669961947
8,2,0.975,3.536445200443268,71.81995448589707
8,3,0.98,3.4707901411586337,125.94660129494365
8,4,0.97,3.7946822775734796,78.76382288569518
